Date,Open,High,Low,Close
22/11/2018,8952.450195,8973.900391,8868.200195,8879
26/11/2018,8913.950195,8950.700195,8841.099609,8943
27/11/2018,8938.299805,8990.450195,8924.400391,8983.900391
28/11/2018,9001.299805,9027.349609,8984.5,8993.25
29/11/2018,9051.849609,9097,9031.049805,9081.849609
30/11/2018,9107.799805,9134.349609,9074.700195,9109.150391
3/12/2018,9153.599609,9157.950195,9097.5,9126.900391
4/12/2018,9125.200195,9137.650391,9094.849609,9116.450195
5/12/2018,9075.049805,9075.349609,8999.650391,9029.450195
6/12/2018,8975.400391,8975.650391,8874.950195,8883.25
7/12/2018,8917.349609,8947.349609,8876.549805,8940.650391
10/12/2018,8789.75,8818.650391,8760.150391,8769.599609
11/12/2018,8655.099609,8859.650391,8646.549805,8845.150391
12/12/2018,8882.200195,9031.599609,8865,9021.599609
13/12/2018,9078.75,9113.150391,9037.849609,9077.299805
14/12/2018,9072.450195,9104.450195,9046.450195,9091.299805
17/12/2018,9127.549805,9162.950195,9118.5,9153.950195
18/12/2018,9126.5,9183.25,9108.099609,9177.349609
19/12/2018,9203.049805,9258.349609,9201.549805,9246.799805
20/12/2018,9188.349609,9241.099609,9180,9234.450195
21/12/2018,9236.549805,9255.799805,9071.450195,9082.549805
24/12/2018,9100.900391,9102.049805,8992.200195,9002.450195
26/12/2018,8977.950195,9056.200195,8879.450195,9041.700195
27/12/2018,9110.849609,9119.799805,9070.650391,9078.799805
28/12/2018,9111.950195,9173.599609,9109.700195,9152.549805
31/12/2018,9194.650391,9207.099609,9159.299805,9170
1/1/2019,9186.700195,9206.049805,9128.400391,9197.900391
2/1/2019,9169.700195,9195.25,9065.450195,9103.400391
3/1/2019,9106.650391,9130,9006.75,9014.799805
4/1/2019,9034.25,9064.849609,8978.200195,9054.900391
7/1/2019,9117.200195,9136.299805,9064.650391,9081.150391
8/1/2019,9090.799805,9109.099609,9052.099609,9098.650391
9/1/2019,9143.200195,9149.349609,9050.150391,9127.450195
10/1/2019,9132.799805,9144,9102.549805,9119.400391
11/1/2019,9130.700195,9142.299805,9057.150391,9098.200195
14/1/2019,9102.400391,9102.900391,9014.950195,9051.450195
15/1/2019,9082.5,9163.299805,9082.5,9157.150391
16/1/2019,9167.450195,9195.049805,9150,9158.75
17/1/2019,9182,9191.849609,9119.599609,9161.599609
18/1/2019,9173.200195,9180.299805,9113.450195,9140.099609
21/1/2019,9150.599609,9195.799805,9125.450195,9155.299805
22/1/2019,9146.299805,9146.299805,9075.25,9131.150391
23/1/2019,9138.75,9151.049805,9055.150391,9068.849609
24/1/2019,9080.25,9086.349609,9039.450195,9072.200195
25/1/2019,9085.599609,9133.150391,8974.549805,8994.349609
28/1/2019,8999.299805,9001.150391,8849.950195,8876.599609
29/1/2019,8865.299805,8904.900391,8825.599609,8875.650391
30/1/2019,8913.450195,8919.450195,8851.049805,8884.900391
31/1/2019,8916.400391,9007.450195,8899.549805,9003.849609
1/2/2019,9024.950195,9130.099609,8988.25,9056.299805
4/2/2019,9045,9052.549805,8974.650391,9042
5/2/2019,9039.700195,9064.599609,9016.700195,9033.599609
6/2/2019,9056.900391,9128.049805,9039.299805,9118.700195
7/2/2019,9125.5,9179.75,9116.150391,9145.799805
8/2/2019,9112.700195,9122.650391,9024.75,9036.900391
11/2/2019,9026.099609,9026.099609,8949.849609,8967.150391
12/2/2019,8961.900391,8987.849609,8917.650391,8925.299805
14/2/2019,8878.849609,8891.900391,8837.75,8869.299805
15/2/2019,8887.549805,8889.900391,8753.650391,8827.049805
18/2/2019,8836,8849.049805,8744.950195,8754.349609
19/2/2019,8753.700195,8825.799805,8729.700195,8742.299805
